行业代码,一级行业名称,二级行业名称,三级行业名称
620302,建筑装饰,基础建设,路桥施工
620303,建筑装饰,基础建设,水利工程
620304,建筑装饰,基础建设,铁路建设
620305,建筑装饰,基础建设,其他基础建设
620401,建筑装饰,专业工程,钢结构
620402,建筑装饰,专业工程,化学工程
620403,建筑装饰,专业工程,国际工程承包
620404,建筑装饰,专业工程,其他专业工程
620501,建筑装饰,园林工程,园林工程
630101,电气设备,电机,电机
630201,电气设备,电气自动化设备,电网自动化
630202,电气设备,电气自动化设备,工控自动化
630203,电气设备,电气自动化设备,计量仪表
630301,电气设备,电源设备,综合电力设备商
630302,电气设备,电源设备,风电设备
630303,电气设备,电源设备,光伏设备
630304,电气设备,电源设备,火电设备
630305,电气设备,电源设备,储能设备
630306,电气设备,电源设备,其它电源设备
630401,电气设备,高低压设备,高压设备
630402,电气设备,高低压设备,中压设备
630403,电气设备,高低压设备,低压设备
630404,电气设备,高低压设备,线缆部件及其他
640101,机械设备,通用机械,机床工具
640102,机械设备,通用机械,机械基础件
640103,机械设备,通用机械,磨具磨料
640104,机械设备,通用机械,内燃机
640105,机械设备,通用机械,制冷空调设备
640106,机械设备,通用机械,其它通用机械
640201,机械设备,专用设备,工程机械
640202,机械设备,专用设备,重型机械
640203,机械设备,专用设备,冶金矿采化工设备
640204,机械设备,专用设备,楼宇设备
640205,机械设备,专用设备,环保设备
640206,机械设备,专用设备,纺织服装设备
640207,机械设备,专用设备,农用机械
640208,机械设备,专用设备,印刷包装机械
640209,机械设备,专用设备,其它专用机械
640301,机械设备,仪器仪表,仪器仪表
640401,机械设备,金属制品,金属制品
640501,机械设备,运输设备,铁路设备
650101,国防军工,航天装备,航天装备
650201,国防军工,航空装备,航空装备
650301,国防军工,地面兵装,地面兵装
650401,国防军工,船舶制造,船舶制造
710101,计算机,计算机设备,计算机设备
710201,计算机,计算机应用,软件开发
710202,计算机,计算机应用,IT
720101,传媒,文化传媒,平面媒体
720102,传媒,文化传媒,影视动漫
720103,传媒,文化传媒,有线电视网络
720104,传媒,文化传媒,其他文化传媒
720201,传媒,营销传播,营销服务
720301,传媒,互联网传媒,互联网信息服务
720302,传媒,互联网传媒,移动互联网服务
720303,传媒,互联网传媒,其他互联网服务
730101,通信,通信运营,通信运营
730201,通信,通信设备,终端设备
730202,通信,通信设备,通信传输设备
730203,通信,通信设备,通信配套服务
